FEI Number,Legal Name,State,Country/Area,Product Type,Action Taken Date,Action Type,Case/Injunction ID
3017517827,"Baylab USA, LLC",Texas,United States,Devices,2024-06-27,Warning Letter,679001
3030805935,Ozempen.com,Arizona,United States,Drugs,2024-06-27,Warning Letter,684435
3003320065,"Laboratorio Magnachem International, S.A.",-,-,Drugs,2024-06-21,Warning Letter,673796
1720129,"Optikem International, Inc.",Colorado,United States,Drugs,2024-06-20,Warning Letter,680264
3002088200,Max Chemical Inc,Puerto Rico,United States,Drugs,2024-06-20,Warning Letter,682037
3004561553,Sun Pharmaceutical Industries Limited,-,India,Drugs,2024-06-18,Warning Letter,677337
3009562273,"AG Essence, Inc.",Virginia,United States,Devices,2024-06-18,Warning Letter,678344
3005787511,Vegewax Candleworx Ltd.,-,Canada,Drugs,2024-06-14,Warning Letter,675099
3016693877,"Guangzhou Zuofun Cosmetics Co., Ltd",-,China,Drugs,2024-06-13,Warning Letter,677992
3008384335,"GFA Production Xiamen Co., Ltd.",-,China,Drugs,2024-06-13,Warning Letter,678364
3010683345,"Aqualex Co., Ltd.",-,-,Drugs,2024-06-12,Warning Letter,672292
3011015632,Atofil LLC,Florida,United States,Drugs,2024-06-12,Warning Letter,678912
3005698871,Landy International,-,China,Drugs,2024-06-12,Warning Letter,679066
3002556034,"ARG Laboratories, Inc.",Texas,United States,Drugs,2024-06-11,Warning Letter,670899
3010026101,"Ken Prima Cosmeceuticals, Sdn. Bhd.",-,Malaysia,Drugs,2024-06-10,Warning Letter,674266
3000718320,"Indiana Lions Eye Bank, Inc. (dbA VisionFirst Indiana Lions Eye Bank)",Indiana,United States,Biologics,2024-06-10,Warning Letter,680039
3027391357,"Angela D. Ritter, M.D.",Georgia,United States,Drugs,2024-06-07,Warning Letter,681999
3017151342,"YAHON ENTERPRISE CO., LTD",-,Vietnam,Drugs,2024-06-06,Warning Letter,675592
3017270745,TCT NUTRACEUTICALS SDN BHD,-,Malaysia,Drugs,2024-06-06,Warning Letter,680743
3017371366,Neobiosis LLC,Florida,United States,Biologics,2024-06-05,Warning Letter,662985
3015282935,"FANCYSTAGE, UNIPESSOAL, LDA.",-,Portugal,Drugs,2024-06-04,Warning Letter,678453
3002692859,Cosmetic Solutions LLC,Florida,United States,Drugs,2024-05-31,Warning Letter,670486
3004117460,Aruba Aloe Balm N.V.,-,Aruba,Drugs,2024-05-13,Warning Letter,674911
3016758165,CUE HEALTH INC,California,United States,Devices,2024-05-09,Warning Letter,675673
3006731547,"Natuzen Co., Ltd.",-,-,Drugs,2024-05-03,Warning Letter,677942
3023815166,"Kevin R. Bender, M.D.",Florida,United States,Drugs,2024-05-02,Warning Letter,680072
3017871874,Akan Biosciences Inc,Maryland,United States,Biologics,2024-04-30,Warning Letter,654674
3027888319,2187954 ALBERTA INC.,-,Canada,Drugs,2024-04-30,Warning Letter,672166
3012281081,Grupo Quimico SRL,-,Uruguay,Drugs,2024-04-30,Warning Letter,674010
3013749236,Global Cosmetics (China) Company Limited,-,China,Drugs,2024-04-30,Warning Letter,677948
3005668178,Washington Fertility Center,Virginia,United States,Biologics,2024-04-30,Warning Letter,678931
3014759234,"Sani-Care Salon Products, Inc",Georgia,United States,Drugs,2024-04-24,Warning Letter,673747
3001236905,"Cardinal Health 200, LLC",Illinois,United States,Devices,2024-04-24,Warning Letter,679404
3005939772,Dr. Sankunnis Ayurvedic Research Foundation Pvt Ltd,-,India,Drugs,2024-04-18,Warning Letter,678046
3013828269,ZEN ENTERPRISES LLC,Nevada,United States,Drugs,2024-04-18,Warning Letter,678407
2020372,"Westwood Laboratories, LLC.",California,United States,Drugs,2024-04-17,Warning Letter,674728
3010982075,"Pinnacle Labs of Tennessee, LLC",Tennessee,United States,Devices,2024-04-17,Warning Letter,676367
3005945400,Health Specialty,California,United States,Drugs,2024-04-15,Warning Letter,675475
3012668529,"C&T Dream Co., Ltd.",-,-,Drugs,2024-04-11,Warning Letter,678300
3004540906,NATCO Pharma Limited,-,India,Drugs,2024-04-09,Warning Letter,672564
3010970108,"FirstCham Co., Ltd.",-,-,Drugs,2024-04-04,Warning Letter,672903
