Record Date,FEI Number,Legal Name,Record Type,Date Posted,Download,Record ID
2024-04-12,3004034796,"Delta Pharma, Inc.",483,2024-05-21,https://www.fda.gov/media/178599/download,269271
2024-03-13,3009339218,Jubilant DraxImage Radiopharmacies Inc.,483,2024-05-21,https://www.fda.gov/media/178630/download,269270
2024-05-03,3009883410,EUGIA Pharma Specialities Limited,483,2024-05-13,https://www.fda.gov/media/178585/download?attachment,269272
2024-04-23,3013712903,Zydus Lifesciences Limited,483,2024-04-29,https://www.fda.gov/media/178169/download?attachment,269273
2023-12-15,3004561553,Sun Pharmaceutical Industries Limited,483,2024-04-17,https://www.fda.gov/media/177871/download?attachment,269274
2024-04-05,3027357163,Eugia Steriles Private Limited,483,2024-04-16,https://www.fda.gov/media/177845/download?attachment,269275
2024-03-27,3007621329,Zydus Lifesciences Limited,483,2024-04-12,https://www.fda.gov/media/177746/download?attachment,269276
2024-04-04,3002806710,Cipla Limited,483,2024-04-10,https://www.fda.gov/media/177653/download?attachment,269277
2024-03-27,3006370533,Alkem Laboratories Limited,483,2024-04-09,https://www.fda.gov/media/177580/download?attachment,269278
2024-02-02,3006895982,Jubilant Generics Limited,483,2024-04-05,https://www.fda.gov/media/177529/download?attachment,269279
2023-11-03,3001581899,Contract Pharmaceuticals Limited Canada,483,2024-04-03,https://www.fda.gov/media/177488/download?attachment,269280
2023-10-25,3002815949,Stokes Healthcare Inc. dba Epicur Pharma,483,2024-03-22,https://www.fda.gov/media/177221/download,269283
2023-11-15,3005949964,"Catalent Indiana, LLC",483,2024-03-22,https://www.fda.gov/media/177229/download,269282
2021-06-07,3012937475,"Front Door Pharmacy, LLC dba Pure Pharmacy (Pure Pharmaceuticals)",483,2024-03-22,https://www.fda.gov/media/177225/download,269281
2023-05-26,3009925820,Medi-Fare Drug,483,2024-03-21,https://www.fda.gov/media/177153/download,269284
2023-07-14,3025984445,Sentara Enterprises,483,2024-03-20,https://www.fda.gov/media/177155/download,269285
2024-02-29,3011905047,Eugia SEZ Private Limited,483,2024-03-15,https://www.fda.gov/media/177078/download?attachment,269286
2021-09-08,1000076625,Boothwyn Pharmacy LLC,483,2024-02-29,https://www.fda.gov/media/176469/download,269287
2024-02-02,3008461619,Eugia Pharma Specialities Limited,483,2024-02-13,https://www.fda.gov/media/176315/download?attachment,269288
2023-11-17,3003434972,"Wedgewood Connect, LLC",483,2024-02-12,https://www.fda.gov/media/176195/download,269289
2023-12-01,3021758709,Empower Clinic Services LCC dba Empower Pharmacy,483,2024-02-12,https://www.fda.gov/media/176194/download,269290
2023-09-08,3011139911,"Sichuan Deebio Pharmaceutical Co., Ltd.",483,2024-02-08,https://www.fda.gov/media/176079/download?attachment,269291
2023-02-10,3000209996,"AGC Biologics, Inc.",483,2024-01-31,https://www.fda.gov/media/175834/download?attachment,269293
2024-01-19,3013702557,Alvotech Hf,483,2024-01-31,https://www.fda.gov/media/175832/download?attachment,269292
2023-01-27,3004610460,Baxter Pharmaceuticals India Pvt Ltd,483,2024-01-30,https://www.fda.gov/media/175813/download?attachment,269294
2023-12-22,3015534630,Eugia US Manufacturing LLC,483,2024-01-30,https://www.fda.gov/media/175809/download?attachment,269295
2023-08-25,3004378804,Central Admixture Pharmacy Services Inc,483,2024-01-25,https://www.fda.gov/media/175708/download,269296
2023-09-22,3005698544,"Precision Equine, LLC",483,2024-01-25,https://www.fda.gov/media/175706/download,269298
2023-11-09,3011319445,Hybrid Pharma LLC,483,2024-01-25,https://www.fda.gov/media/175704/download,269299
2023-10-04,3025336457,"STAQ Pharma of Ohio, LLC",483,2024-01-25,https://www.fda.gov/media/175707/download,269297
2015-07-23,,"Sina LLC, dba OncoMed (Onco 360)",483,2024-01-17,https://www.fda.gov/media/89973/download,269939
2015-07-24,,"Forest/Inwood Laboratories, Inc.",483,2024-01-17,https://www.fda.gov/media/70886/download,269868
2015-07-28,,"Changzhou SPL Company,  Ltd",483,2024-01-17,https://www.fda.gov/media/70085/download,269849
2016-06-06,,Ballard Plaza Pharmacy 1 Inc.,483,2024-01-17,https://www.fda.gov/media/98554/download,269703
,,ADMA Biologics Inc.,483,2024-01-17,https://www.fda.gov/media/116164/download,269364
,,"Akorn, Inc.",483,2024-01-17,https://www.fda.gov/media/114365/download,269359
,,Arnold Professional Pharmacy,483,2024-01-17,https://www.fda.gov/media/116510/download,269373
,,Auro Pharmacies,483,2024-01-17,https://www.fda.gov/media/116178/download,269366
,,"Central Admixture Pharmacy Services, Inc.",483,2024-01-17,https://www.fda.gov/media/116404/download,269368
,,Dolan Central Illinois Compounding LLC dba Preckshot Professional Pharmacy,483,2024-01-17,https://www.fda.gov/media/115704/download,269361
,,Dolan Central Illinois Compounding LLC dba Preckshot Professional Pharmacy,483,2024-01-17,https://www.fda.gov/media/115712/download,269363
,,"HomeChoice Partners, Inc.",483,2024-01-17,https://www.fda.gov/media/116171/download,269365
,,Hunter Holmes McGuire Veterans Affairs Medical Center,483,2024-01-17,https://www.fda.gov/media/115657/download,269360
,,"Inventive Infusion Solutions, LP",483,2024-01-17,https://www.fda.gov/media/116410/download,269372
,,New Vitalis Pharmacy LLC dba New Vitalis Pharmacy,483,2024-01-17,https://www.fda.gov/media/116408/download,269369
,,"People’s Custom Rx and Clinical Care, LLC",483,2024-01-17,https://www.fda.gov/media/115739/download,269362
,,"Pharm D Solutions, LLC",483,2024-01-17,https://www.fda.gov/media/116405/download,269370
,,Quinn Pharmacy dba Northland Discount Drug Inc.,483,2024-01-17,https://www.fda.gov/media/116506/download,269371
,,"South Coast Specialty Compounding, Inc.",483,2024-01-17,https://www.fda.gov/media/116612/download,269374
,,"South Coast Specialty Compounding, Inc.",483,2024-01-17,https://www.fda.gov/media/116957/download,269377
,,Sparboe Farms Inc.,483,2024-01-17,https://www.fda.gov/media/116804/download,269375
,,Sparboe Farms Inc.,483,2024-01-17,https://www.fda.gov/media/116912/download,269376
,,"Westlab Pharmacy, Inc. dba Westlab Pharmacy",483,2024-01-17,https://www.fda.gov/media/116175/download,269367
2015-07-11,"Unico Holdings, Inc.","Unico Holdings, Inc.",483,2024-01-17,https://www.fda.gov/media/78770/download,270222
2015-07-24,112247,"Nestle USA, Inc.",483,2024-01-17,https://www.fda.gov/media/77129/download,269880
