Country,Count,latitude,longitude,Percentage,ISO_Code
United States,2992,39.7837304,-100.445882,70.68273092369478,USA
China,239,35.000074,104.999927,5.64611386723364,CHN
India,176,22.3511148,78.6677428,4.157807701393811,IND
France,117,46.603354,1.8883335,2.7639971651311126,FRA
Canada,106,61.0666922,-107.991707,2.5041341837939997,CAN
Mexico,82,19.4326296,-99.1331785,1.9371604063312071,MEX
Germany,80,51.1638175,10.4478313,1.8899125915426411,DEU
United Kingdom,63,54.7023545,-3.2765753,1.48830616583983,GBR
Japan,47,36.5748441,139.2394179,1.1103236475313016,JPN
Italy,36,42.6384261,12.674297,0.8504606661941885,ITA
"Taiwan, Province of China",25,,,0.5905976848570754,TWN
Australia,17,-24.7761086,134.755,0.4016064257028112,AUS
Israel,16,30.8124247,34.8594762,0.37798251830852825,ISR
Spain,16,39.3260685,-4.8379791,0.37798251830852825,ESP
Switzerland,15,46.7985624,8.2319736,0.3543586109142452,CHE
Malaysia,15,4.5693754,102.2656823,0.3543586109142452,MYS
Sweden,14,59.6749712,14.5208584,0.3307347035199622,SWE
Turkey,14,38.9597594,34.9249653,0.3307347035199622,
Netherlands,12,52.2434979,5.6343227,0.28348688873139616,NLD
Thailand,11,7.4931858,124.724704,0.25986298133711316,THA
Denmark,10,55.670249,10.3333283,0.23623907394283014,DNK
Singapore,9,1.357107,103.8194992,0.21261516654854712,SGP
Brazil,9,-10.3333333,-53.2,0.21261516654854712,BRA
Belgium,8,50.6402809,4.6667145,0.18899125915426412,BEL
Philippines,7,12.7503486,122.7312101,0.1653673517599811,PHL
Austria,6,47.59397,14.12456,0.14174344436569808,AUT
Costa Rica,6,10.2735633,-84.0739102,0.14174344436569808,CRI
Ireland,5,53.41523525,-7.966595219444855,0.11811953697141507,IRL
Argentina,5,-34.9964963,-64.9672817,0.11811953697141507,ARG
Czechia,5,49.7439047,15.3381061,0.11811953697141507,CZE
New Zealand,4,-41.5000831,172.8344077,0.09449562957713206,NZL
Viet Nam,4,15.9266657,107.9650855,0.09449562957713206,VNM
Hungary,4,47.1817585,19.5060937,0.09449562957713206,HUN
Russian Federation,4,64.6863136,97.7453061,0.09449562957713206,RUS
Poland,4,52.215933,19.134422,0.09449562957713206,POL
Panama,4,8.559559,-81.1308434,0.09449562957713206,PAN
Indonesia,3,-2.4833826,117.8902853,0.07087172218284904,IDN
Romania,3,45.9852129,24.6859225,0.07087172218284904,ROU
Portugal,3,39.6621648,-8.1353519,0.07087172218284904,PRT
Bulgaria,3,42.6073975,25.4856617,0.07087172218284904,BGR
Finland,2,63.2467777,25.9209164,0.04724781478856603,FIN
United Arab Emirates,2,24.0002488,53.9994829,0.04724781478856603,ARE
Gibraltar,2,36.1285933,-5.3474761,0.04724781478856603,GIB
Jordan,2,44.6663146,-93.6261918,0.04724781478856603,JOR
Slovakia,2,48.7411522,19.4528646,0.04724781478856603,SVK
South Africa,2,-28.8166236,24.991639,0.04724781478856603,ZAF
Colombia,2,4.099917,-72.9088133,0.04724781478856603,COL
Ukraine,2,49.4871968,31.2718321,0.04724781478856603,UKR
Belize,1,17.1204943,-88.6859028,0.023623907394283016,BLZ
Bahamas,1,24.7736546,-78.0000547,0.023623907394283016,BHS
Aruba,1,12.51756625,-69.98186415210564,0.023623907394283016,ABW
Uruguay,1,-32.8755548,-56.0201525,0.023623907394283016,URY
"Venezuela, Bolivarian Republic of",1,8.0018709,-66.1109318,0.023623907394283016,VEN
Barbados,1,13.1500331,-59.5250305,0.023623907394283016,BRB
Tunisia,1,36.8002068,10.1857757,0.023623907394283016,TUN
Serbia,1,44.024322850000004,21.07657433209902,0.023623907394283016,SRB
Cayman Islands,1,19.703182249999998,-79.9174627243246,0.023623907394283016,CYM
Cyprus,1,34.9174159,32.889902651331866,0.023623907394283016,CYP
Egypt,1,26.2540493,29.2675469,0.023623907394283016,EGY
"Moldova, Republic of",1,47.027288150000004,28.826340253557447,0.023623907394283016,MDA
Guatemala,1,15.5855545,-90.345759,0.023623907394283016,GTM
Lithuania,1,55.3500003,23.7499997,0.023623907394283016,LTU
Armenia,1,4.536307,-75.6723751,0.023623907394283016,ARM
Jamaica,1,18.1850507,-77.3947693,0.023623907394283016,JAM
Honduras,1,15.2572432,-86.0755145,0.023623907394283016,HND
"Virgin Islands, British",1,18.4024395,-64.5661642,0.023623907394283016,VGB
