State,Total,State_Code
California,12121,CA
Florida,6927,FL
Texas,5375,TX
New York,5165,NY
New Jersey,4035,NJ
Pennsylvania,3978,PA
Illinois,3834,IL
Ohio,3441,OH
Massachusetts,3433,MA
North Carolina,2577,NC
Georgia,2375,GA
Minnesota,2311,MN
Tennessee,2102,TN
Missouri,2081,MO
Michigan,1991,MI
Washington,1918,WA
Colorado,1677,CO
Indiana,1587,IN
Wisconsin,1566,WI
Maryland,1547,MD
Virginia,1510,VA
Arizona,1438,AZ
Connecticut,1231,CT
Puerto Rico,1134,PR
Utah,1090,UT
Alabama,1002,AL
South Carolina,994,SC
Louisiana,918,LA
Oregon,900,OR
Kentucky,856,KY
Kansas,793,KS
Iowa,739,IA
Nevada,596,NV
Oklahoma,559,OK
New Hampshire,480,NH
Mississippi,478,MS
Nebraska,475,NE
Arkansas,420,AR
Rhode Island,351,RI
Idaho,350,ID
New Mexico,308,NM
West Virginia,291,WV
Maine,261,ME
Montana,216,MT
Delaware,208,DE
South Dakota,207,SD
District of Columbia,158,
Vermont,152,VT
Hawaii,147,HI
North Dakota,120,ND
Wyoming,72,WY
Alaska,54,AK
Virgin Islands,18,VI
Guam,8,GU
